INSERT into STUDENT values ('Student3', 2.09, 5, 'PES1UG19CS499', 'CSE', 'Student3@rediffmail.com', 7353492140, 0);
INSERT into STUDENT values ('Student37', 9.62, 7, 'PES2UG18EE587', 'EEE', 'Student37@hotmail.com', 9682418081, 0);
INSERT into STUDENT values ('Student39', 7.12, 7, 'PES1UG18EC236', 'ECE', 'Student39@yahoo.com', 9509776831, 0);
INSERT into STUDENT values ('Student43', 2.57, 5, 'PES2UG19EC325', 'ECE', 'Student43@yahoo.com', 8720169099, 0);
INSERT into STUDENT values ('Student45', 6.37, 5, 'PES1UG19CV515', 'CV', 'Student45@outlook.com', 7732227941, 0);
INSERT into STUDENT values ('Student47', 1.04, 1, 'PES2UG21ME214', 'ME', 'Student47@yahoo.com', 7352689785, 0);
INSERT into STUDENT values ('Student50', 2.25, 3, 'PES1UG20CV367', 'CV', 'Student50@rediffmail.com', 7627960370, 0);
INSERT into STUDENT values ('Student52', 8.26, 3, 'PES2UG20EC235', 'ECE', 'Student52@hotmail.com', 7197787196, 0);
INSERT into STUDENT values ('Student53', 7.48, 5, 'PES1UG19CV441', 'CV', 'Student53@rediffmail.com', 8906295654, 0);
INSERT into STUDENT values ('Student55', 5.83, 5, 'PES2UG19EE359', 'EEE', 'Student55@yahoo.com', 9485056991, 0);
INSERT into STUDENT values ('Student56', 1.48, 5, 'PES1UG19EE444', 'EEE', 'Student56@rediffmail.com', 6395715710, 0);
INSERT into STUDENT values ('Student57', 4.49, 7, 'PES2UG18ME168', 'ME', 'Student57@hotmail.com', 9903717693, 0);
INSERT into STUDENT values ('Student58', 9.18, 5, 'PES2UG19CS365', 'CSE', 'Student58@rediffmail.com', 8607558415, 0);
INSERT into STUDENT values ('Student59', 6.87, 5, 'PES1UG19CV208', 'CV', 'Student59@gmail.com', 6661291508, 0);
INSERT into STUDENT values ('Student62', 7.85, 1, 'PES1UG21ME387', 'ME', 'Student62@yahoo.com', 9807805243, 0);
INSERT into STUDENT values ('Student63', 6.29, 7, 'PES2UG18BT538', 'BT', 'Student63@gmail.com', 7878762408, 0);
INSERT into STUDENT values ('Student65', 7.36, 7, 'PES1UG18CV558', 'CV', 'Student65@hotmail.com', 9099364413, 0);
INSERT into STUDENT values ('Student68', 5.81, 7, 'PES2UG18EE355', 'EEE', 'Student68@rediffmail.com', 6444263795, 0);
INSERT into STUDENT values ('Student75', 1.39, 1, 'PES2UG21CV323', 'CV', 'Student75@yahoo.com', 8536192305, 0);
INSERT into STUDENT values ('Student77', 2.89, 5, 'PES2UG19CS673', 'CSE', 'Student77@hotmail.com', 6678299738, 0);
INSERT into STUDENT values ('Student78', 3.29, 7, 'PES1UG18EE094', 'EEE', 'Student78@yahoo.com', 7403566457, 0);
INSERT into STUDENT values ('Student80', 6.3, 5, 'PES2UG19CV657', 'CV', 'Student80@yahoo.com', 8767860566, 0);
INSERT into STUDENT values ('Student82', 10.04, 7, 'PES2UG18BT558', 'BT', 'Student82@rediffmail.com', 8625280972, 0);
INSERT into STUDENT values ('Student85', 1.02, 7, 'PES2UG18EE193', 'EEE', 'Student85@hotmail.com', 8666088615, 0);
INSERT into STUDENT values ('Student86', 6.07, 7, 'PES1UG18EC437', 'ECE', 'Student86@yahoo.com', 8042843724, 0);
INSERT into STUDENT values ('Student87', 6.56, 7, 'PES2UG18BT552', 'BT', 'Student87@rediffmail.com', 6790222820, 0);
INSERT into STUDENT values ('Student91', 10.9, 7, 'PES2UG18CS114', 'CSE', 'Student91@hotmail.com', 8810895254, 0);
INSERT into STUDENT values ('Student92', 3.27, 3, 'PES1UG20CS129', 'CSE', 'Student92@gmail.com', 7652865441, 0);
INSERT into STUDENT values ('Student94', 2.11, 3, 'PES1UG20ME464', 'ME', 'Student94@outlook.com', 7587973244, 0);
INSERT into STUDENT values ('Student95', 9.79, 7, 'PES1UG18BT341', 'BT', 'Student95@outlook.com', 8066059623, 0);
INSERT into STUDENT values ('Student96', 8.0, 3, 'PES2UG20ME352', 'ME', 'Student96@gmail.com', 9559085159, 0);
INSERT into STUDENT values ('Student104', 5.82, 5, 'PES2UG19EC160', 'ECE', 'Student104@outlook.com', 6666984348, 0);
INSERT into STUDENT values ('Student105', 8.42, 3, 'PES2UG20CS459', 'CSE', 'Student105@outlook.com', 6093936019, 0);
INSERT into STUDENT values ('Student107', 2.11, 1, 'PES2UG21ME431', 'ME', 'Student107@yahoo.com', 7218715103, 0);
INSERT into STUDENT values ('Student112', 10.41, 3, 'PES1UG20CS375', 'CSE', 'Student112@rediffmail.com', 8087654373, 0);
INSERT into STUDENT values ('Student122', 7.64, 5, 'PES1UG19EC445', 'ECE', 'Student122@gmail.com', 9086355389, 0);
INSERT into STUDENT values ('Student123', 9.99, 1, 'PES2UG21CV713', 'CV', 'Student123@yahoo.com', 9902098292, 0);
INSERT into STUDENT values ('Student124', 8.73, 3, 'PES1UG20CV097', 'CV', 'Student124@outlook.com', 6000612751, 0);
INSERT into STUDENT values ('Student127', 9.89, 7, 'PES1UG18CV616', 'CV', 'Student127@hotmail.com', 8873151861, 0);
INSERT into STUDENT values ('Student128', 2.85, 1, 'PES1UG21ME020', 'ME', 'Student128@hotmail.com', 7118095818, 0);
INSERT into STUDENT values ('Student129', 3.25, 1, 'PES2UG21CS156', 'CSE', 'Student129@gmail.com', 9676276202, 0);
INSERT into STUDENT values ('Student132', 8.95, 5, 'PES2UG19ME119', 'ME', 'Student132@outlook.com', 7744287592, 0);
INSERT into STUDENT values ('Student135', 4.57, 7, 'PES1UG18CV463', 'CV', 'Student135@gmail.com', 6976211218, 0);
INSERT into STUDENT values ('Student136', 10.66, 3, 'PES2UG20BT564', 'BT', 'Student136@yahoo.com', 7410824001, 0);
INSERT into STUDENT values ('Student137', 1.16, 3, 'PES2UG20EC176', 'ECE', 'Student137@gmail.com', 8074639952, 0);
INSERT into STUDENT values ('Student138', 3.57, 7, 'PES1UG18CS242', 'CSE', 'Student138@gmail.com', 7577950073, 0);
INSERT into STUDENT values ('Student140', 9.41, 3, 'PES2UG20EC537', 'ECE', 'Student140@outlook.com', 9067688243, 0);
INSERT into STUDENT values ('Student144', 1.66, 3, 'PES2UG20CS179', 'CSE', 'Student144@rediffmail.com', 9074045849, 0);
INSERT into STUDENT values ('Student148', 4.49, 1, 'PES2UG21CV369', 'CV', 'Student148@rediffmail.com', 7153462774, 0);
INSERT into STUDENT values ('Student150', 5.66, 3, 'PES2UG20CV006', 'CV', 'Student150@gmail.com', 9047022010, 0);
INSERT into STUDENT values ('Student153', 1.87, 3, 'PES2UG20CS477', 'CSE', 'Student153@yahoo.com', 8089464650, 0);
INSERT into STUDENT values ('Student154', 6.2, 1, 'PES1UG21BT272', 'BT', 'Student154@gmail.com', 7401343242, 0);
INSERT into STUDENT values ('Student158', 4.66, 3, 'PES2UG20CS362', 'CSE', 'Student158@yahoo.com', 7314132309, 0);
INSERT into STUDENT values ('Student159', 1.35, 1, 'PES2UG21CV272', 'CV', 'Student159@outlook.com', 8306233267, 0);
INSERT into STUDENT values ('Student160', 9.98, 7, 'PES2UG18EC525', 'ECE', 'Student160@rediffmail.com', 7442185207, 0);
INSERT into STUDENT values ('Student161', 5.35, 1, 'PES1UG21ME081', 'ME', 'Student161@yahoo.com', 6293180574, 0);
INSERT into STUDENT values ('Student162', 2.15, 3, 'PES2UG20ME696', 'ME', 'Student162@outlook.com', 7877818329, 0);
INSERT into STUDENT values ('Student163', 9.47, 3, 'PES1UG20EC087', 'ECE', 'Student163@hotmail.com', 8151337896, 0);
INSERT into STUDENT values ('Student166', 4.76, 3, 'PES2UG20CS247', 'CSE', 'Student166@rediffmail.com', 8285842621, 0);
INSERT into STUDENT values ('Student169', 2.18, 5, 'PES2UG19CS446', 'CSE', 'Student169@outlook.com', 6791474961, 0);
INSERT into STUDENT values ('Student170', 10.52, 5, 'PES2UG19EC710', 'ECE', 'Student170@rediffmail.com', 8429059602, 0);
INSERT into STUDENT values ('Student175', 10.53, 5, 'PES2UG19EE415', 'EEE', 'Student175@yahoo.com', 6854801465, 0);
INSERT into STUDENT values ('Student176', 2.96, 3, 'PES1UG20ME408', 'ME', 'Student176@gmail.com', 8438450299, 0);
INSERT into STUDENT values ('Student177', 8.4, 3, 'PES1UG20EE206', 'EEE', 'Student177@rediffmail.com', 6097321406, 0);
INSERT into STUDENT values ('Student180', 7.9, 7, 'PES2UG18CS212', 'CSE', 'Student180@rediffmail.com', 7910535628, 0);
INSERT into STUDENT values ('Student183', 7.51, 3, 'PES2UG20EE008', 'EEE', 'Student183@yahoo.com', 7685661824, 0);
INSERT into STUDENT values ('Student185', 7.57, 3, 'PES2UG20EC562', 'ECE', 'Student185@hotmail.com', 8704848208, 0);
INSERT into STUDENT values ('Student190', 7.84, 3, 'PES1UG20CS625', 'CSE', 'Student190@hotmail.com', 9423615343, 0);
INSERT into STUDENT values ('Student191', 3.85, 1, 'PES1UG21EE679', 'EEE', 'Student191@yahoo.com', 6111308168, 0);
INSERT into STUDENT values ('Student194', 3.49, 1, 'PES1UG21CV472', 'CV', 'Student194@gmail.com', 9767616566, 0);
INSERT into STUDENT values ('Student195', 1.81, 5, 'PES1UG19EC043', 'ECE', 'Student195@gmail.com', 7983921705, 0);
INSERT into STUDENT values ('Student199', 3.38, 3, 'PES1UG20BT328', 'BT', 'Student199@hotmail.com', 8945005769, 0);
INSERT into STUDENT values ('Student200', 4.33, 1, 'PES2UG21BT374', 'BT', 'Student200@gmail.com', 6682914478, 0);
INSERT into STUDENT values ('Student202', 4.12, 1, 'PES2UG21BT363', 'BT', 'Student202@outlook.com', 9177865017, 0);
INSERT into STUDENT values ('Student203', 6.95, 7, 'PES2UG18ME356', 'ME', 'Student203@hotmail.com', 7076045837, 0);
INSERT into STUDENT values ('Student204', 4.76, 3, 'PES1UG20EE061', 'EEE', 'Student204@hotmail.com', 8112935635, 0);
INSERT into STUDENT values ('Student207', 8.01, 7, 'PES1UG18CS044', 'CSE', 'Student207@rediffmail.com', 8637160540, 0);
INSERT into STUDENT values ('Student208', 3.61, 3, 'PES1UG20CV241', 'CV', 'Student208@hotmail.com', 9496867827, 0);
INSERT into STUDENT values ('Student211', 4.16, 7, 'PES2UG18CV093', 'CV', 'Student211@yahoo.com', 8686285839, 0);
INSERT into STUDENT values ('Student214', 8.68, 7, 'PES2UG18BT398', 'BT', 'Student214@yahoo.com', 6674714599, 0);
INSERT into STUDENT values ('Student217', 6.68, 7, 'PES2UG18CS357', 'CSE', 'Student217@gmail.com', 9379635417, 0);
INSERT into STUDENT values ('Student218', 4.54, 3, 'PES1UG20BT286', 'BT', 'Student218@rediffmail.com', 8188199430, 0);
INSERT into STUDENT values ('Student219', 10.11, 5, 'PES1UG19ME390', 'ME', 'Student219@yahoo.com', 8302785783, 0);
INSERT into STUDENT values ('Student222', 2.94, 1, 'PES2UG21EC090', 'ECE', 'Student222@gmail.com', 6981674293, 0);
INSERT into STUDENT values ('Student223', 1.53, 1, 'PES1UG21CS670', 'CSE', 'Student223@yahoo.com', 6315662175, 0);
INSERT into STUDENT values ('Student224', 3.74, 5, 'PES2UG19CV152', 'CV', 'Student224@gmail.com', 6843292402, 0);
INSERT into STUDENT values ('Student227', 4.29, 7, 'PES2UG18CV279', 'CV', 'Student227@gmail.com', 6003134124, 0);
INSERT into STUDENT values ('Student228', 6.84, 3, 'PES1UG20EC711', 'ECE', 'Student228@gmail.com', 8865747830, 0);
INSERT into STUDENT values ('Student229', 1.75, 1, 'PES1UG21CV110', 'CV', 'Student229@hotmail.com', 6191927521, 0);
INSERT into STUDENT values ('Student230', 6.7, 5, 'PES1UG19CV473', 'CV', 'Student230@gmail.com', 6532674233, 0);
INSERT into STUDENT values ('Student233', 4.57, 5, 'PES1UG19EE238', 'EEE', 'Student233@hotmail.com', 6225984630, 0);
INSERT into STUDENT values ('Student234', 2.06, 1, 'PES2UG21CV663', 'CV', 'Student234@outlook.com', 8189770897, 0);
INSERT into STUDENT values ('Student236', 2.35, 5, 'PES2UG19EE252', 'EEE', 'Student236@rediffmail.com', 6116699119, 0);
INSERT into STUDENT values ('Student238', 6.89, 7, 'PES1UG18EC130', 'ECE', 'Student238@outlook.com', 8924176795, 0);
INSERT into STUDENT values ('Student239', 3.12, 3, 'PES1UG20CV296', 'CV', 'Student239@yahoo.com', 6486733292, 0);
INSERT into STUDENT values ('Student241', 10.0, 3, 'PES2UG20BT576', 'BT', 'Student241@yahoo.com', 7621661324, 0);
INSERT into STUDENT values ('Student242', 2.15, 1, 'PES1UG21ME511', 'ME', 'Student242@yahoo.com', 8374748316, 0);
INSERT into STUDENT values ('Student244', 7.03, 1, 'PES1UG21CV539', 'CV', 'Student244@gmail.com', 7833817051, 0);
INSERT into STUDENT values ('Student245', 6.77, 7, 'PES1UG18CV514', 'CV', 'Student245@hotmail.com', 9820177821, 0);
INSERT into STUDENT values ('Student246', 7.8, 5, 'PES2UG19EE400', 'EEE', 'Student246@outlook.com', 7537904506, 0);
INSERT into STUDENT values ('Student248', 7.8, 5, 'PES2UG19CV117', 'CV', 'Student248@outlook.com', 9010972788, 0);
INSERT into STUDENT values ('Student249', 8.04, 7, 'PES2UG18CS272', 'CSE', 'Student249@outlook.com', 6092957454, 0);
INSERT into STUDENT values ('Student251', 9.93, 5, 'PES1UG19EE156', 'EEE', 'Student251@gmail.com', 7165851827, 0);
INSERT into STUDENT values ('Student253', 3.79, 1, 'PES2UG21CS180', 'CSE', 'Student253@hotmail.com', 8950009688, 0);
INSERT into STUDENT values ('Student254', 7.76, 5, 'PES2UG19CV160', 'CV', 'Student254@gmail.com', 9385467985, 0);
INSERT into STUDENT values ('Student255', 4.57, 7, 'PES1UG18EC090', 'ECE', 'Student255@yahoo.com', 7191783329, 0);
INSERT into STUDENT values ('Student256', 1.4, 5, 'PES2UG19CV413', 'CV', 'Student256@hotmail.com', 8905702142, 0);
INSERT into STUDENT values ('Student258', 7.16, 5, 'PES1UG19EE658', 'EEE', 'Student258@hotmail.com', 8512694575, 0);
INSERT into STUDENT values ('Student260', 1.37, 1, 'PES2UG21CV599', 'CV', 'Student260@rediffmail.com', 8608213428, 0);
INSERT into STUDENT values ('Student262', 6.71, 5, 'PES1UG19BT589', 'BT', 'Student262@yahoo.com', 9165054443, 0);
INSERT into STUDENT values ('Student266', 10.37, 7, 'PES2UG18CS188', 'CSE', 'Student266@rediffmail.com', 7845879041, 0);
INSERT into STUDENT values ('Student270', 5.78, 3, 'PES1UG20CV510', 'CV', 'Student270@outlook.com', 9308446916, 0);
INSERT into STUDENT values ('Student271', 8.31, 7, 'PES2UG18BT086', 'BT', 'Student271@gmail.com', 7549376361, 0);
INSERT into STUDENT values ('Student275', 7.81, 5, 'PES1UG19EE431', 'EEE', 'Student275@rediffmail.com', 7341260737, 0);
INSERT into STUDENT values ('Student283', 2.05, 1, 'PES2UG21EE238', 'EEE', 'Student283@hotmail.com', 6653794698, 0);
INSERT into STUDENT values ('Student284', 5.41, 5, 'PES2UG19CV074', 'CV', 'Student284@yahoo.com', 9639019199, 0);
INSERT into STUDENT values ('Student285', 6.81, 1, 'PES1UG21EE450', 'EEE', 'Student285@yahoo.com', 7389899171, 0);
INSERT into STUDENT values ('Student286', 10.93, 7, 'PES2UG18CS588', 'CSE', 'Student286@outlook.com', 6500199994, 0);
INSERT into STUDENT values ('Student287', 6.5, 3, 'PES2UG20EE121', 'EEE', 'Student287@yahoo.com', 6042484998, 0);
INSERT into STUDENT values ('Student289', 10.8, 5, 'PES2UG19EC337', 'ECE', 'Student289@rediffmail.com', 9021047921, 0);
INSERT into STUDENT values ('Student291', 4.71, 7, 'PES2UG18CS018', 'CSE', 'Student291@outlook.com', 8317805284, 0);
INSERT into STUDENT values ('Student293', 10.47, 3, 'PES2UG20CS311', 'CSE', 'Student293@rediffmail.com', 8895702734, 0);
INSERT into STUDENT values ('Student294', 8.99, 7, 'PES2UG18CV521', 'CV', 'Student294@outlook.com', 7774600959, 0);
INSERT into STUDENT values ('Student296', 10.11, 3, 'PES1UG20CV464', 'CV', 'Student296@yahoo.com', 8781390537, 0);
INSERT into STUDENT values ('Student298', 7.34, 5, 'PES1UG19EE429', 'EEE', 'Student298@yahoo.com', 8029833063, 0);
INSERT into STUDENT values ('Student304', 3.98, 1, 'PES2UG21EE624', 'EEE', 'Student304@hotmail.com', 9567413652, 0);
INSERT into STUDENT values ('Student306', 5.27, 3, 'PES1UG20EC044', 'ECE', 'Student306@rediffmail.com', 8865380092, 0);
INSERT into STUDENT values ('Student308', 1.17, 5, 'PES2UG19CV080', 'CV', 'Student308@hotmail.com', 7436218577, 0);
INSERT into STUDENT values ('Student309', 9.25, 5, 'PES1UG19CV299', 'CV', 'Student309@rediffmail.com', 9745507599, 0);
INSERT into STUDENT values ('Student312', 3.38, 1, 'PES1UG21EC171', 'ECE', 'Student312@outlook.com', 9425117390, 0);
INSERT into STUDENT values ('Student315', 1.24, 1, 'PES1UG21ME684', 'ME', 'Student315@rediffmail.com', 6600908275, 0);
INSERT into STUDENT values ('Student316', 7.05, 5, 'PES2UG19ME434', 'ME', 'Student316@rediffmail.com', 7803567665, 0);
INSERT into STUDENT values ('Student317', 8.68, 3, 'PES1UG20EC090', 'ECE', 'Student317@hotmail.com', 8832768230, 0);
INSERT into STUDENT values ('Student318', 6.95, 3, 'PES1UG20ME004', 'ME', 'Student318@hotmail.com', 9594955918, 0);
INSERT into STUDENT values ('Student320', 9.57, 1, 'PES1UG21CV079', 'CV', 'Student320@rediffmail.com', 6105942475, 0);
INSERT into STUDENT values ('Student321', 9.23, 1, 'PES1UG21CV085', 'CV', 'Student321@hotmail.com', 7681381307, 0);
INSERT into STUDENT values ('Student322', 10.19, 5, 'PES1UG19EC441', 'ECE', 'Student322@yahoo.com', 6527103872, 0);
INSERT into STUDENT values ('Student324', 4.61, 7, 'PES1UG18ME555', 'ME', 'Student324@rediffmail.com', 9944940655, 0);
INSERT into STUDENT values ('Student325', 10.05, 1, 'PES2UG21CS181', 'CSE', 'Student325@hotmail.com', 6151046840, 0);
INSERT into STUDENT values ('Student327', 6.39, 1, 'PES2UG21CS697', 'CSE', 'Student327@gmail.com', 9870495922, 0);
INSERT into STUDENT values ('Student328', 6.01, 7, 'PES1UG18CV481', 'CV', 'Student328@hotmail.com', 8836299321, 0);
INSERT into STUDENT values ('Student329', 2.55, 1, 'PES1UG21BT490', 'BT', 'Student329@gmail.com', 6359098900, 0);
INSERT into STUDENT values ('Student335', 10.02, 5, 'PES1UG19ME148', 'ME', 'Student335@gmail.com', 9711966937, 0);
INSERT into STUDENT values ('Student338', 2.09, 5, 'PES2UG19EE493', 'EEE', 'Student338@outlook.com', 8196688791, 0);
INSERT into STUDENT values ('Student339', 9.47, 7, 'PES1UG18BT215', 'BT', 'Student339@outlook.com', 7028865466, 0);
INSERT into STUDENT values ('Student340', 2.53, 5, 'PES1UG19CV474', 'CV', 'Student340@outlook.com', 7500348994, 0);
INSERT into STUDENT values ('Student342', 10.02, 7, 'PES2UG18EE316', 'EEE', 'Student342@hotmail.com', 7949610173, 0);
INSERT into STUDENT values ('Student343', 1.59, 3, 'PES1UG20ME021', 'ME', 'Student343@hotmail.com', 9090181214, 0);
INSERT into STUDENT values ('Student345', 5.34, 1, 'PES1UG21BT484', 'BT', 'Student345@rediffmail.com', 6375438748, 0);
INSERT into STUDENT values ('Student348', 9.81, 5, 'PES2UG19CV043', 'CV', 'Student348@yahoo.com', 8721486842, 0);
INSERT into STUDENT values ('Student351', 7.06, 5, 'PES1UG19BT503', 'BT', 'Student351@yahoo.com', 6305906570, 0);
INSERT into STUDENT values ('Student352', 3.86, 3, 'PES1UG20EE474', 'EEE', 'Student352@rediffmail.com', 9499345877, 0);
INSERT into STUDENT values ('Student353', 5.34, 5, 'PES2UG19BT632', 'BT', 'Student353@hotmail.com', 6208318561, 0);
INSERT into STUDENT values ('Student357', 3.22, 5, 'PES2UG19ME078', 'ME', 'Student357@rediffmail.com', 7290284308, 0);
INSERT into STUDENT values ('Student359', 5.59, 1, 'PES2UG21EC622', 'ECE', 'Student359@yahoo.com', 8630088642, 0);
INSERT into STUDENT values ('Student362', 2.13, 3, 'PES2UG20CV433', 'CV', 'Student362@outlook.com', 6011041820, 0);
INSERT into STUDENT values ('Student364', 10.04, 1, 'PES2UG21CV032', 'CV', 'Student364@rediffmail.com', 7847458989, 0);
INSERT into STUDENT values ('Student367', 8.0, 5, 'PES1UG19ME616', 'ME', 'Student367@hotmail.com', 6267067784, 0);
INSERT into STUDENT values ('Student370', 9.01, 1, 'PES2UG21EC532', 'ECE', 'Student370@hotmail.com', 9825075232, 0);
INSERT into STUDENT values ('Student375', 1.44, 5, 'PES1UG19ME507', 'ME', 'Student375@rediffmail.com', 6875761841, 0);
INSERT into STUDENT values ('Student377', 4.6, 3, 'PES2UG20CS686', 'CSE', 'Student377@yahoo.com', 9638353197, 0);
INSERT into STUDENT values ('Student380', 8.9, 7, 'PES2UG18CV446', 'CV', 'Student380@yahoo.com', 8019854909, 0);
INSERT into STUDENT values ('Student381', 5.87, 1, 'PES2UG21BT646', 'BT', 'Student381@outlook.com', 6205812521, 0);
INSERT into STUDENT values ('Student383', 10.58, 5, 'PES2UG19CV250', 'CV', 'Student383@gmail.com', 9949040416, 0);
INSERT into STUDENT values ('Student388', 2.22, 7, 'PES2UG18ME399', 'ME', 'Student388@hotmail.com', 8379568140, 0);
INSERT into STUDENT values ('Student389', 1.99, 7, 'PES2UG18ME098', 'ME', 'Student389@yahoo.com', 7151457925, 0);
INSERT into STUDENT values ('Student390', 6.97, 1, 'PES1UG21BT023', 'BT', 'Student390@hotmail.com', 9024589344, 0);
INSERT into STUDENT values ('Student394', 3.7, 3, 'PES1UG20ME701', 'ME', 'Student394@hotmail.com', 9417035896, 0);
INSERT into STUDENT values ('Student395', 4.72, 3, 'PES1UG20BT293', 'BT', 'Student395@rediffmail.com', 8114920745, 0);
INSERT into STUDENT values ('Student397', 5.97, 1, 'PES1UG21CS098', 'CSE', 'Student397@yahoo.com', 8865359812, 0);
INSERT into STUDENT values ('Student400', 4.19, 3, 'PES2UG20BT222', 'BT', 'Student400@outlook.com', 9212367001, 0);
INSERT into STUDENT values ('Student402', 4.2, 5, 'PES1UG19EE648', 'EEE', 'Student402@hotmail.com', 7606890192, 0);
INSERT into STUDENT values ('Student412', 5.12, 3, 'PES1UG20EE602', 'EEE', 'Student412@rediffmail.com', 8571066205, 0);
INSERT into STUDENT values ('Student415', 1.81, 1, 'PES2UG21BT161', 'BT', 'Student415@rediffmail.com', 7169043310, 0);
INSERT into STUDENT values ('Student416', 7.94, 1, 'PES1UG21EE437', 'EEE', 'Student416@outlook.com', 7679922534, 0);
INSERT into STUDENT values ('Student417', 8.47, 3, 'PES1UG20BT434', 'BT', 'Student417@hotmail.com', 8805158378, 0);
INSERT into STUDENT values ('Student418', 2.46, 3, 'PES1UG20BT580', 'BT', 'Student418@gmail.com', 9489829821, 0);
INSERT into STUDENT values ('Student422', 2.5, 1, 'PES2UG21ME703', 'ME', 'Student422@outlook.com', 7064637719, 0);
INSERT into STUDENT values ('Student423', 1.63, 3, 'PES1UG20EE173', 'EEE', 'Student423@hotmail.com', 9033007288, 0);
INSERT into STUDENT values ('Student425', 2.07, 5, 'PES1UG19CS298', 'CSE', 'Student425@outlook.com', 8157106928, 0);
INSERT into STUDENT values ('Student427', 6.57, 3, 'PES1UG20ME687', 'ME', 'Student427@hotmail.com', 8485901573, 0);
INSERT into STUDENT values ('Student428', 4.52, 1, 'PES2UG21EE268', 'EEE', 'Student428@yahoo.com', 9360563326, 0);
INSERT into STUDENT values ('Student429', 2.19, 1, 'PES2UG21CV535', 'CV', 'Student429@outlook.com', 7265696930, 0);
INSERT into STUDENT values ('Student430', 1.72, 7, 'PES2UG18EE013', 'EEE', 'Student430@gmail.com', 9379326696, 0);
INSERT into STUDENT values ('Student431', 9.6, 3, 'PES1UG20BT049', 'BT', 'Student431@gmail.com', 8937779472, 0);
INSERT into STUDENT values ('Student438', 10.61, 1, 'PES2UG21BT135', 'BT', 'Student438@yahoo.com', 6932355026, 0);
INSERT into STUDENT values ('Student439', 10.6, 7, 'PES1UG18BT566', 'BT', 'Student439@gmail.com', 8221758385, 0);
INSERT into STUDENT values ('Student441', 7.2, 3, 'PES1UG20ME328', 'ME', 'Student441@hotmail.com', 8060416504, 0);
INSERT into STUDENT values ('Student443', 7.13, 5, 'PES2UG19EC434', 'ECE', 'Student443@rediffmail.com', 7497075122, 0);
INSERT into STUDENT values ('Student445', 3.81, 3, 'PES1UG20CS482', 'CSE', 'Student445@yahoo.com', 6497542782, 0);
INSERT into STUDENT values ('Student446', 7.93, 1, 'PES2UG21EC014', 'ECE', 'Student446@hotmail.com', 9751324579, 0);
INSERT into STUDENT values ('Student451', 6.65, 5, 'PES2UG19EE209', 'EEE', 'Student451@rediffmail.com', 6266547544, 0);
INSERT into STUDENT values ('Student452', 9.59, 7, 'PES1UG18EC596', 'ECE', 'Student452@yahoo.com', 8563481354, 0);
INSERT into STUDENT values ('Student454', 2.06, 7, 'PES1UG18CV051', 'CV', 'Student454@rediffmail.com', 6310542829, 0);
INSERT into STUDENT values ('Student455', 7.96, 7, 'PES2UG18EE051', 'EEE', 'Student455@gmail.com', 9543356555, 0);
