INSERT into STUDENT values ('Student0', 6.93, 7, 'PES2UG18ME033', 'ME', 'Student0@gmail.com', 7511019992, 0);
INSERT into STUDENT values ('Student17', 2.2, 7, 'PES2UG18ME153', 'ME', 'Student17@yahoo.com', 7294038574, 0);
INSERT into STUDENT values ('Student18', 3.67, 1, 'PES2UG21EE064', 'EEE', 'Student18@rediffmail.com', 8180891535, 0);
INSERT into STUDENT values ('Student19', 3.62, 7, 887, 'CV', 'Student19@yahoo.com', 6823586172, 1);
INSERT into STUDENT values ('Student20', 8.99, 3, 1289, 'ME', 'Student20@outlook.com', 6023025747, NULL);
INSERT into STUDENT values ('Student21', 2.39, 5, 1103, 'EEE', 'Student21@yahoo.com', 6136392854, NULL);
INSERT into STUDENT values ('Student22', 3.45, 1, 1216, 'EEE', 'Student22@hotmail.com', 7935586454, 1);
INSERT into STUDENT values ('Student23', 6.75, 7, 827, 'ME', 'Student23@outlook.com', 8113304293, 1);
INSERT into STUDENT values ('Student24', 8.03, 1, 'PES1UG21EC111', 'ECE', 'Student24@hotmail.com', 6408785484, 0);
INSERT into STUDENT values ('Student25', 4.44, 1, 834, 'EEE', 'Student25@rediffmail.com', 6034204256, 1);
INSERT into STUDENT values ('Student26', 8.29, 5, 'PES1UG19EC452', 'ECE', 'Student26@outlook.com', 8697911958, 0);
INSERT into STUDENT values ('Student27', 3.07, 7, 'PES1UG18ME712', 'ME', 'Student27@hotmail.com', 8220601741, 0);
INSERT into STUDENT values ('Student28', 1.22, 5, 1155, 'EEE', 'Student28@gmail.com', 6543985213, NULL);
INSERT into STUDENT values ('Student29', 5.81, 7, 'PES2UG18EC271', 'ECE', 'Student29@rediffmail.com', 8470379979, 0);
INSERT into STUDENT values ('Student30', 8.3, 7, 'PES2UG18CS538', 'CSE', 'Student30@outlook.com', 9426597547, 0);
INSERT into STUDENT values ('Student31', 6.49, 7, 'PES2UG18EC245', 'ECE', 'Student31@gmail.com', 6770751051, 0);
INSERT into STUDENT values ('Student32', 5.03, 1, 'PES2UG21CV020', 'CV', 'Student32@rediffmail.com', 9952391792, 0);
INSERT into STUDENT values ('Student33', 5.43, 5, 932, 'BT', 'Student33@outlook.com', 9933849210, 1);
INSERT into STUDENT values ('Student34', 5.61, 5, 'PES2UG19EC038', 'ECE', 'Student34@yahoo.com', 6234116958, 0);
INSERT into STUDENT values ('Student35', 2.71, 7, 'PES2UG18CS419', 'CSE', 'Student35@hotmail.com', 9979469760, 0);
INSERT into STUDENT values ('Student36', 9.61, 1, 1127, 'ECE', 'Student36@hotmail.com', 6691721127, NULL);
INSERT into STUDENT values ('Student37', 1.44, 7, 964, 'EEE', 'Student37@rediffmail.com', 7759548391, NULL);
INSERT into STUDENT values ('Student38', 5.15, 7, 1194, 'BT', 'Student38@outlook.com', 7307531791, NULL);
INSERT into STUDENT values ('Student39', 8.42, 5, 'PES2UG19BT192', 'BT', 'Student39@hotmail.com', 9897978899, 0);
INSERT into STUDENT values ('Student40', 2.14, 5, 'PES2UG19BT499', 'BT', 'Student40@outlook.com', 8499043218, 0);
INSERT into STUDENT values ('Student41', 9.15, 3, 'PES2UG20EE478', 'EEE', 'Student41@outlook.com', 6206013857, 0);
INSERT into STUDENT values ('Student42', 6.59, 7, 1085, 'BT', 'Student42@yahoo.com', 7648871211, 1);
INSERT into STUDENT values ('Student43', 5.61, 3, 'PES1UG20ME159', 'ME', 'Student43@outlook.com', 6945425573, 0);
INSERT into STUDENT values ('Student44', 6.29, 7, 1411, 'ECE', 'Student44@yahoo.com', 6953318158, 1);
INSERT into STUDENT values ('Student45', 5.37, 5, 'PES2UG19CS596', 'CSE', 'Student45@outlook.com', 7075517618, 0);
INSERT into STUDENT values ('Student46', 1.38, 1, 941, 'ECE', 'Student46@outlook.com', 9234348511, NULL);
INSERT into STUDENT values ('Student47', 3.36, 5, 855, 'ECE', 'Student47@gmail.com', 8945023206, 1);
INSERT into STUDENT values ('Student48', 8.22, 1, 'PES1UG21EE503', 'EEE', 'Student48@hotmail.com', 6219257752, 0);
INSERT into STUDENT values ('Student49', 4.22, 5, 795, 'ECE', 'Student49@gmail.com', 6809280154, NULL);
INSERT into STUDENT values ('Student50', 8.27, 3, 1348, 'CSE', 'Student50@rediffmail.com', 7854651142, 1);
INSERT into STUDENT values ('Student51', 4.38, 1, 736, 'CSE', 'Student51@yahoo.com', 6737943746, 1);
INSERT into STUDENT values ('Student52', 4.55, 1, 'PES2UG21BT286', 'BT', 'Student52@hotmail.com', 9154745083, 0);
INSERT into STUDENT values ('Student53', 8.42, 1, 'PES2UG21ME084', 'ME', 'Student53@rediffmail.com', 7601259178, 0);
INSERT into STUDENT values ('Student54', 8.59, 7, 'PES2UG18BT611', 'BT', 'Student54@yahoo.com', 7287740574, 0);
INSERT into STUDENT values ('Student55', 3.53, 7, 1276, 'CV', 'Student55@gmail.com', 6457394752, 1);
INSERT into STUDENT values ('Student56', 1.96, 3, 'PES1UG20EE298', 'EEE', 'Student56@rediffmail.com', 8947073206, 0);
INSERT into STUDENT values ('Student57', 3.75, 7, 'PES2UG18BT636', 'BT', 'Student57@gmail.com', 9975208197, 0);
INSERT into STUDENT values ('Student58', 1.27, 1, 941, 'EEE', 'Student58@outlook.com', 9178984561, NULL);
INSERT into STUDENT values ('Student59', 2.39, 5, 1238, 'CSE', 'Student59@hotmail.com', 7509918071, 1);
INSERT into STUDENT values ('Student60', 6.12, 1, 1214, 'CV', 'Student60@outlook.com', 7616269412, 1);
INSERT into STUDENT values ('Student61', 1.63, 7, 'PES2UG18EE292', 'EEE', 'Student61@gmail.com', 7752623014, 0);
INSERT into STUDENT values ('Student62', 4.47, 7, 945, 'BT', 'Student62@rediffmail.com', 8909078490, NULL);
INSERT into STUDENT values ('Student63', 5.78, 5, 'PES2UG19EE183', 'EEE', 'Student63@outlook.com', 8797568067, 0);
INSERT into STUDENT values ('Student64', 3.53, 7, 'PES1UG18CS236', 'CSE', 'Student64@outlook.com', 8197503456, 0);
INSERT into STUDENT values ('Student65', 4.12, 7, 'PES2UG18ME113', 'ME', 'Student65@outlook.com', 7466117385, 0);
INSERT into STUDENT values ('Student66', 6.68, 3, 1308, 'ME', 'Student66@outlook.com', 6730484794, 1);
INSERT into STUDENT values ('Student67', 9.23, 1, 'PES1UG21ME457', 'ME', 'Student67@yahoo.com', 7494125683, 0);
INSERT into STUDENT values ('Student68', 5.86, 5, 'PES2UG19ME695', 'ME', 'Student68@yahoo.com', 8511040131, 0);
INSERT into STUDENT values ('Student69', 9.17, 3, 'PES2UG20CS641', 'CSE', 'Student69@yahoo.com', 6331525658, 0);
INSERT into STUDENT values ('Student70', 5.68, 5, 'PES2UG19EE593', 'EEE', 'Student70@hotmail.com', 6723197555, 0);
INSERT into STUDENT values ('Student71', 8.99, 5, 'PES1UG19EC664', 'ECE', 'Student71@rediffmail.com', 7769496852, 0);
INSERT into STUDENT values ('Student72', 6.2, 5, 1369, 'CSE', 'Student72@rediffmail.com', 8749564992, 1);
INSERT into STUDENT values ('Student73', 3.69, 1, 'PES2UG21EE233', 'EEE', 'Student73@hotmail.com', 8222755938, 0);
INSERT into STUDENT values ('Student74', 2.99, 5, 'PES2UG19BT571', 'BT', 'Student74@rediffmail.com', 8666662120, 0);
INSERT into STUDENT values ('Student75', 1.84, 5, 1435, 'EEE', 'Student75@outlook.com', 9863511767, NULL);
INSERT into STUDENT values ('Student76', 1.23, 7, 'PES2UG18CS389', 'CSE', 'Student76@yahoo.com', 6794787492, 0);
INSERT into STUDENT values ('Student77', 1.59, 5, 809, 'ECE', 'Student77@yahoo.com', 7407111721, NULL);
INSERT into STUDENT values ('Student78', 4.5, 5, 738, 'ME', 'Student78@rediffmail.com', 6492551029, NULL);
INSERT into STUDENT values ('Student79', 7.1, 7, 'PES1UG18BT330', 'BT', 'Student79@yahoo.com', 7694483808, 0);
INSERT into STUDENT values ('Student80', 4.78, 5, 'PES1UG19CS533', 'CSE', 'Student80@outlook.com', 8316279462, 0);
INSERT into STUDENT values ('Student81', 2.83, 3, 1437, 'BT', 'Student81@rediffmail.com', 8499198071, NULL);
INSERT into STUDENT values ('Student82', 6.5, 5, 'PES2UG19EE385', 'EEE', 'Student82@outlook.com', 7886405071, 0);
INSERT into STUDENT values ('Student83', 5.14, 5, 1158, 'CSE', 'Student83@rediffmail.com', 7415104240, 1);
INSERT into STUDENT values ('Student84', 3.73, 5, 'PES2UG19ME413', 'ME', 'Student84@outlook.com', 9688391398, 0);
INSERT into STUDENT values ('Student85', 8.73, 1, 'PES2UG21EE554', 'EEE', 'Student85@yahoo.com', 6764408443, 0);
INSERT into STUDENT values ('Student86', 7.9, 3, 'PES1UG20EC667', 'ECE', 'Student86@gmail.com', 6709418672, 0);
INSERT into STUDENT values ('Student87', 5.39, 3, 758, 'EEE', 'Student87@outlook.com', 6040403425, NULL);
INSERT into STUDENT values ('Student88', 8.33, 3, 'PES2UG20EC046', 'ECE', 'Student88@rediffmail.com', 8952760331, 0);
INSERT into STUDENT values ('Student89', 6.19, 3, 1141, 'CV', 'Student89@gmail.com', 9682208409, NULL);
INSERT into STUDENT values ('Student90', 5.61, 1, 771, 'BT', 'Student90@outlook.com', 9185476054, NULL);
INSERT into STUDENT values ('Student91', 1.58, 5, 'PES1UG19ME325', 'ME', 'Student91@rediffmail.com', 9988396412, 0);
INSERT into STUDENT values ('Student92', 8.79, 3, 133, 'CV', 'Student92@outlook.com', 6843565827, NULL);
INSERT into STUDENT values ('Student93', 7.07, 3, 'PES2UG20CV030', 'CV', 'Student93@outlook.com', 9247891737, 0);
INSERT into STUDENT values ('Student94', 9.72, 5, 1015, 'EEE', 'Student94@gmail.com', 6979186821, 1);
INSERT into STUDENT values ('Student95', 2.3, 1, 'PES1UG21BT315', 'BT', 'Student95@hotmail.com', 7871194269, 0);
INSERT into STUDENT values ('Student96', 5.04, 1, 'PES2UG21EC278', 'ECE', 'Student96@rediffmail.com', 7133043432, 0);
INSERT into STUDENT values ('Student97', 1.31, 1, 'PES1UG21BT644', 'BT', 'Student97@outlook.com', 8420913988, 0);
INSERT into STUDENT values ('Student98', 5.68, 7, 'PES2UG18ME329', 'ME', 'Student98@outlook.com', 7007034579, 0);
INSERT into STUDENT values ('Student99', 4.13, 7, 1215, 'ECE', 'Student99@rediffmail.com', 8395102694, NULL);
INSERT into STUDENT values ('Student100', 7.65, 3, 875, 'EEE', 'Student100@outlook.com', 9107860796, NULL);
INSERT into STUDENT values ('Student101', 8.18, 7, 724, 'ME', 'Student101@yahoo.com', 9804964607, NULL);
INSERT into STUDENT values ('Student102', 8.53, 1, 'PES2UG21EC514', 'ECE', 'Student102@gmail.com', 9865990355, 0);
INSERT into STUDENT values ('Student103', 6.22, 7, 'PES2UG18EC484', 'ECE', 'Student103@outlook.com', 8045934026, 0);
INSERT into STUDENT values ('Student104', 3.18, 1, 'PES2UG21ME130', 'ME', 'Student104@hotmail.com', 7939171561, 0);
INSERT into STUDENT values ('Student105', 3.21, 5, 'PES2UG19ME350', 'ME', 'Student105@outlook.com', 9343973886, 0);
INSERT into STUDENT values ('Student106', 6.95, 3, 1432, 'CV', 'Student106@hotmail.com', 8569418197, 1);
INSERT into STUDENT values ('Student107', 9.92, 3, 1370, 'CV', 'Student107@yahoo.com', 7142773419, 1);
INSERT into STUDENT values ('Student108', 7.03, 5, 'PES2UG19ME460', 'ME', 'Student108@yahoo.com', 6494602245, 0);
INSERT into STUDENT values ('Student109', 7.0, 3, 'PES2UG20EC303', 'ECE', 'Student109@hotmail.com', 7292062782, 0);
INSERT into STUDENT values ('Student110', 7.59, 1, 1054, 'BT', 'Student110@outlook.com', 7905629832, 1);
INSERT into STUDENT values ('Student111', 7.31, 1, 'PES1UG21CV108', 'CV', 'Student111@hotmail.com', 7114623349, 0);
INSERT into STUDENT values ('Student112', 6.06, 1, 1020, 'ECE', 'Student112@outlook.com', 6700406274, 1);
INSERT into STUDENT values ('Student113', 1.26, 1, 'PES2UG21BT718', 'BT', 'Student113@rediffmail.com', 8215680845, 0);
INSERT into STUDENT values ('Student114', 2.24, 5, 'PES1UG19ME589', 'ME', 'Student114@yahoo.com', 6961137999, 0);
INSERT into STUDENT values ('Student115', 9.36, 7, 1360, 'ECE', 'Student115@gmail.com', 7211823604, 1);
INSERT into STUDENT values ('Student116', 5.94, 7, 'PES2UG18CV176', 'CV', 'Student116@hotmail.com', 9076929551, 0);
INSERT into STUDENT values ('Student117', 9.79, 7, 'PES2UG18CS694', 'CSE', 'Student117@rediffmail.com', 7778093095, 0);
INSERT into STUDENT values ('Student118', 6.92, 5, 'PES2UG19BT024', 'BT', 'Student118@hotmail.com', 6374707562, 0);
INSERT into STUDENT values ('Student119', 2.06, 1, 1393, 'CSE', 'Student119@hotmail.com', 8922184698, 1);
INSERT into STUDENT values ('Student120', 4.05, 5, 973, 'ECE', 'Student120@yahoo.com', 6485012281, NULL);
INSERT into STUDENT values ('Student121', 8.19, 5, 1119, 'CSE', 'Student121@rediffmail.com', 7776997780, NULL);
INSERT into STUDENT values ('Student122', 6.24, 3, 'PES1UG20EE700', 'EEE', 'Student122@hotmail.com', 9607002787, 0);
INSERT into STUDENT values ('Student123', 9.57, 3, 869, 'CV', 'Student123@gmail.com', 9641862382, NULL);
INSERT into STUDENT values ('Student124', 3.21, 3, 1117, 'BT', 'Student124@gmail.com', 7676084209, 1);
INSERT into STUDENT values ('Student125', 7.05, 3, 948, 'ECE', 'Student125@rediffmail.com', 8696140267, 1);
INSERT into STUDENT values ('Student126', 2.14, 1, 'PES1UG21ME670', 'ME', 'Student126@outlook.com', 8191000815, 0);
INSERT into STUDENT values ('Student127', 7.62, 7, 'PES2UG18ME286', 'ME', 'Student127@rediffmail.com', 9294390775, 0);
INSERT into STUDENT values ('Student128', 2.21, 5, 'PES1UG19CS483', 'CSE', 'Student128@rediffmail.com', 7726606669, 0);
INSERT into STUDENT values ('Student129', 8.93, 3, 1368, 'ECE', 'Student129@yahoo.com', 9606661958, NULL);
INSERT into STUDENT values ('Student130', 3.18, 7, 'PES2UG18CV042', 'CV', 'Student130@hotmail.com', 6004423223, 0);
INSERT into STUDENT values ('Student131', 6.5, 1, 'PES2UG21ME035', 'ME', 'Student131@yahoo.com', 9656260105, 0);
INSERT into STUDENT values ('Student132', 1.98, 7, 'PES1UG18CV594', 'CV', 'Student132@rediffmail.com', 6020791020, 0);
INSERT into STUDENT values ('Student133', 7.21, 3, 'PES2UG20BT639', 'BT', 'Student133@hotmail.com', 6633855214, 0);
INSERT into STUDENT values ('Student134', 6.26, 3, 1365, 'CSE', 'Student134@rediffmail.com', 6486027996, 1);
INSERT into STUDENT values ('Student135', 4.33, 3, 'PES2UG20ME011', 'ME', 'Student135@yahoo.com', 6535409780, 0);
INSERT into STUDENT values ('Student136', 6.38, 5, 806, 'ECE', 'Student136@hotmail.com', 9308995398, 1);
INSERT into STUDENT values ('Student137', 9.08, 3, 'PES2UG20ME350', 'ME', 'Student137@outlook.com', 9473070136, 0);
INSERT into STUDENT values ('Student138', 2.12, 7, 1169, 'ME', 'Student138@gmail.com', 8324268927, 1);
INSERT into STUDENT values ('Student139', 4.92, 5, 1097, 'BT', 'Student139@yahoo.com', 7154098651, 1);
INSERT into STUDENT values ('Student140', 9.68, 3, 'PES1UG20BT546', 'BT', 'Student140@yahoo.com', 7509751684, 0);
INSERT into STUDENT values ('Student141', 9.97, 3, 1231, 'EEE', 'Student141@rediffmail.com', 8743152954, NULL);
INSERT into STUDENT values ('Student142', 1.51, 5, 1026, 'BT', 'Student142@outlook.com', 6277325444, 1);
INSERT into STUDENT values ('Student143', 3.63, 1, 'PES2UG21EC139', 'ECE', 'Student143@rediffmail.com', 6423348867, 0);
INSERT into STUDENT values ('Student144', 4.15, 3, 'PES1UG20EE416', 'EEE', 'Student144@gmail.com', 6114367207, 0);
INSERT into STUDENT values ('Student145', 3.93, 7, 'PES2UG18CV625', 'CV', 'Student145@outlook.com', 7332447774, 0);
INSERT into STUDENT values ('Student146', 5.78, 5, 69, 'ME', 'Student146@gmail.com', 9081117382, 1);
INSERT into STUDENT values ('Student147', 2.24, 7, 1274, 'ECE', 'Student147@hotmail.com', 9379485615, 1);
INSERT into STUDENT values ('Student148', 6.61, 5, 1330, 'BT', 'Student148@gmail.com', 9431844528, NULL);
INSERT into STUDENT values ('Student149', 7.68, 1, 741, 'CV', 'Student149@hotmail.com', 7463438693, 1);
INSERT into STUDENT values ('Student150', 4.34, 1, 985, 'ECE', 'Student150@outlook.com', 7120217508, 1);
INSERT into STUDENT values ('Student151', 3.71, 7, 838, 'EEE', 'Student151@rediffmail.com', 6880736240, NULL);
INSERT into STUDENT values ('Student152', 1.48, 5, 900, 'ECE', 'Student152@outlook.com', 9251689925, 1);
INSERT into STUDENT values ('Student153', 8.11, 1, 'PES1UG21EE541', 'EEE', 'Student153@yahoo.com', 9420859733, 0);
INSERT into STUDENT values ('Student154', 8.05, 7, 1280, 'BT', 'Student154@rediffmail.com', 7284771695, 1);
INSERT into STUDENT values ('Student155', 5.02, 3, 'PES2UG20CV492', 'CV', 'Student155@outlook.com', 9745692359, 0);
INSERT into STUDENT values ('Student156', 2.74, 5, 1009, 'CSE', 'Student156@hotmail.com', 8894370765, NULL);
INSERT into STUDENT values ('Student157', 5.2, 1, 1304, 'ME', 'Student157@yahoo.com', 7154385868, NULL);
INSERT into STUDENT values ('Student158', 2.38, 5, 858, 'ME', 'Student158@yahoo.com', 8055934288, NULL);
INSERT into STUDENT values ('Student159', 5.96, 3, 881, 'CV', 'Student159@gmail.com', 7612257685, 1);
INSERT into STUDENT values ('Student160', 5.3, 1, 1326, 'BT', 'Student160@rediffmail.com', 8064009226, 1);
INSERT into STUDENT values ('Student161', 7.73, 7, 'PES1UG18EC615', 'ECE', 'Student161@outlook.com', 8917868140, 0);
INSERT into STUDENT values ('Student162', 8.01, 1, 777, 'ME', 'Student162@gmail.com', 7609995826, 1);
INSERT into STUDENT values ('Student163', 9.33, 3, 'PES2UG20EE119', 'EEE', 'Student163@hotmail.com', 8161024249, 0);
INSERT into STUDENT values ('Student164', 6.24, 5, 1258, 'ME', 'Student164@rediffmail.com', 9843242600, NULL);
INSERT into STUDENT values ('Student165', 8.31, 3, 1271, 'CSE', 'Student165@outlook.com', 7714590074, 1);
INSERT into STUDENT values ('Student166', 2.41, 7, 897, 'CSE', 'Student166@rediffmail.com', 8013790110, NULL);
INSERT into STUDENT values ('Student167', 2.12, 3, 'PES1UG20BT004', 'BT', 'Student167@gmail.com', 6231233563, 0);
INSERT into STUDENT values ('Student168', 8.69, 3, 1043, 'ECE', 'Student168@outlook.com', 8861284702, 1);
INSERT into STUDENT values ('Student169', 7.16, 1, 'PES2UG21EC648', 'ECE', 'Student169@yahoo.com', 8312820555, 0);
INSERT into STUDENT values ('Student170', 1.56, 7, 'PES1UG18EC435', 'ECE', 'Student170@outlook.com', 7208941716, 0);
INSERT into STUDENT values ('Student171', 6.54, 7, 1051, 'ME', 'Student171@rediffmail.com', 9935463144, 1);
INSERT into STUDENT values ('Student172', 8.2, 3, 'PES1UG20BT330', 'BT', 'Student172@outlook.com', 6544779612, 0);
INSERT into STUDENT values ('Student173', 9.03, 5, 'PES1UG19EE257', 'EEE', 'Student173@hotmail.com', 7242032427, 0);
INSERT into STUDENT values ('Student174', 5.57, 7, 'PES1UG18EE607', 'EEE', 'Student174@hotmail.com', 9609858793, 0);
INSERT into STUDENT values ('Student175', 7.04, 7, 892, 'BT', 'Student175@gmail.com', 6477050712, NULL);
INSERT into STUDENT values ('Student176', 6.52, 1, 985, 'ME', 'Student176@rediffmail.com', 6329319191, NULL);
INSERT into STUDENT values ('Student177', 7.7, 5, 'PES1UG19EE688', 'EEE', 'Student177@rediffmail.com', 8604160703, 0);
INSERT into STUDENT values ('Student178', 9.03, 7, 901, 'BT', 'Student178@outlook.com', 9569961676, NULL);
INSERT into STUDENT values ('Student179', 5.59, 5, 769, 'BT', 'Student179@outlook.com', 6599502359, 1);
INSERT into STUDENT values ('Student180', 9.23, 1, 'PES1UG21EE116', 'EEE', 'Student180@hotmail.com', 9010814275, 0);
INSERT into STUDENT values ('Student181', 9.07, 1, 'PES2UG21BT479', 'BT', 'Student181@yahoo.com', 8991924583, 0);
INSERT into STUDENT values ('Student182', 8.93, 1, 1420, 'ME', 'Student182@hotmail.com', 7077591013, NULL);
INSERT into STUDENT values ('Student183', 9.21, 5, 1346, 'ME', 'Student183@hotmail.com', 9900903322, 1);
INSERT into STUDENT values ('Student184', 6.2, 1, 'PES1UG21EE205', 'EEE', 'Student184@outlook.com', 7194416946, 0);
INSERT into STUDENT values ('Student185', 3.28, 7, 'PES2UG18BT566', 'BT', 'Student185@hotmail.com', 6881883846, 0);
INSERT into STUDENT values ('Student186', 3.84, 7, 'PES1UG18BT252', 'BT', 'Student186@yahoo.com', 9484172172, 0);
INSERT into STUDENT values ('Student187', 3.48, 7, 936, 'ME', 'Student187@yahoo.com', 6916714045, NULL);
INSERT into STUDENT values ('Student188', 8.14, 1, 1393, 'EEE', 'Student188@rediffmail.com', 9825451700, NULL);
INSERT into STUDENT values ('Student189', 1.7, 3, 1291, 'CV', 'Student189@yahoo.com', 6628669417, 1);
INSERT into STUDENT values ('Student190', 1.55, 5, 791, 'ME', 'Student190@gmail.com', 7308874013, 1);
INSERT into STUDENT values ('Student191', 9.8, 1, 'PES1UG21BT364', 'BT', 'Student191@gmail.com', 7097192921, 0);
INSERT into STUDENT values ('Student192', 5.24, 3, 'PES2UG20EC066', 'ECE', 'Student192@outlook.com', 8974445089, 0);
INSERT into STUDENT values ('Student193', 3.61, 1, 'PES2UG21EE647', 'EEE', 'Student193@hotmail.com', 8119963332, 0);
INSERT into STUDENT values ('Student194', 2.44, 3, 1130, 'CSE', 'Student194@yahoo.com', 9037559710, NULL);
INSERT into STUDENT values ('Student195', 9.64, 1, 'PES2UG21ME630', 'ME', 'Student195@gmail.com', 8522537488, 0);
INSERT into STUDENT values ('Student196', 4.43, 5, 'PES2UG19CV560', 'CV', 'Student196@yahoo.com', 8660740787, 0);
INSERT into STUDENT values ('Student197', 6.71, 7, 1048, 'CSE', 'Student197@yahoo.com', 7608420866, NULL);
INSERT into STUDENT values ('Student198', 5.22, 5, 'PES2UG19EE377', 'EEE', 'Student198@rediffmail.com', 9899513430, 0);
INSERT into STUDENT values ('Student199', 4.49, 3, 793, 'BT', 'Student199@rediffmail.com', 6497904040, NULL);
INSERT into STUDENT values ('Student200', 5.51, 3, 'PES2UG20BT389', 'BT', 'Student200@yahoo.com', 9545746425, 0);
INSERT into STUDENT values ('Student201', 6.8, 5, 966, 'EEE', 'Student201@rediffmail.com', 9885373851, NULL);
INSERT into STUDENT values ('Student202', 9.23, 5, 'PES1UG19EE707', 'EEE', 'Student202@rediffmail.com', 7250764947, 0);
INSERT into STUDENT values ('Student203', 2.87, 1, 'PES1UG21CS171', 'CSE', 'Student203@yahoo.com', 9316660301, 0);
INSERT into STUDENT values ('Student204', 8.3, 3, 946, 'BT', 'Student204@gmail.com', 8551804557, NULL);
INSERT into STUDENT values ('Student205', 7.26, 7, 997, 'CV', 'Student205@gmail.com', 8607309575, 1);
INSERT into STUDENT values ('Student206', 5.85, 7, 1366, 'CSE', 'Student206@outlook.com', 8623426365, NULL);
INSERT into STUDENT values ('Student207', 1.91, 3, 1353, 'BT', 'Student207@rediffmail.com', 8218802771, NULL);
INSERT into STUDENT values ('Student208', 4.01, 1, 'PES1UG21ME172', 'ME', 'Student208@gmail.com', 6240206725, 0);
INSERT into STUDENT values ('Student209', 6.32, 7, 1313, 'BT', 'Student209@outlook.com', 6134675785, 1);
INSERT into STUDENT values ('Student210', 8.88, 7, 821, 'CV', 'Student210@yahoo.com', 9271262472, NULL);
INSERT into STUDENT values ('Student211', 5.52, 1, 'PES2UG21ME628', 'ME', 'Student211@hotmail.com', 8787036982, 0);
INSERT into STUDENT values ('Student212', 9.93, 5, 1287, 'ECE', 'Student212@hotmail.com', 8854680193, 1);
INSERT into STUDENT values ('Student213', 7.98, 1, 1065, 'EEE', 'Student213@gmail.com', 6414295950, 1);
INSERT into STUDENT values ('Student214', 6.13, 3, 1126, 'CV', 'Student214@rediffmail.com', 9270324083, NULL);
INSERT into STUDENT values ('Student215', 4.33, 7, 899, 'CSE', 'Student215@outlook.com', 8457648972, NULL);
INSERT into STUDENT values ('Student216', 1.63, 5, 'PES2UG19CS135', 'CSE', 'Student216@outlook.com', 9773586607, 0);
INSERT into STUDENT values ('Student217', 5.26, 7, 1385, 'ECE', 'Student217@rediffmail.com', 7771946050, 1);
INSERT into STUDENT values ('Student218', 6.78, 7, 'PES2UG18ME025', 'ME', 'Student218@yahoo.com', 7217521885, 0);
INSERT into STUDENT values ('Student219', 8.49, 5, 141, 'ECE', 'Student219@yahoo.com', 9495349020, 1);
INSERT into STUDENT values ('Student220', 9.75, 3, 1325, 'ME', 'Student220@outlook.com', 9387206997, NULL);
INSERT into STUDENT values ('Student221', 9.9, 7, 'PES2UG18BT428', 'BT', 'Student221@rediffmail.com', 6860663238, 0);
INSERT into STUDENT values ('Student222', 8.51, 1, 'PES1UG21BT683', 'BT', 'Student222@gmail.com', 8613963853, 0);
INSERT into STUDENT values ('Student223', 2.88, 5, 'PES2UG19EC584', 'ECE', 'Student223@yahoo.com', 7570850379, 0);
INSERT into STUDENT values ('Student224', 2.86, 3, 1256, 'ME', 'Student224@hotmail.com', 7660243164, 1);
INSERT into STUDENT values ('Student225', 8.92, 1, 1055, 'ME', 'Student225@yahoo.com', 9491525646, 1);
